QTR,CARRIER,SOURCE_CITY,DEST_CITY,ORDER_COUNT,AVG_TRANSIT_DAYS,ACTUAL_TRANSIT_DAYS,ONTIME_PERFORMANCE
2024 2,HOSD,GRAND RAPIDS,ELWOOD,143,3,2,44
2024 2,ODFL,RICHMOND,PORTLAND,4,2,4,100
2024 2,ODFL,ELWOOD,HOLIDAY CITY,11,1,2,37
2024 2,ODFL,PHARR,COPPELL,18,1,5,25
2024 2,RBTW,GRAND RAPIDS,LANCASTER,15,4,3,27
2024 3,ODFL,REDLANDS,MADISON,12,4,7,34
2024 2,ODFL,ELWOOD,SHELBY,16,2,4,25
2024 2,ODFL,ELWOOD,EAU CLAIRE,12,1,2,50
2024 2,ODFL,REDLANDS,PORTLAND,2,4,7,100
2024 3,ODFL,REDLANDS,LANCASTER,3,2,4,100
2024 3,ODFL,ELWOOD,JEFFERSON,18,2,4,42
2024 2,ODFL,RICHMOND,DUBLIN,4,2,6,25
2024 2,ODFL,ELWOOD,TOBYHANNA,6,2,5,34
2024 3,ODFL,LANCASTER,PHOENIX,3,2,6,34
2024 3,ODFL,RICHMOND,CULLMAN,6,2,5,34
2024 3,ODFL,ELWOOD,PRESCOTT VALLEY,20,4,6,25
2024 3,ODFL,RICHMOND,JACKSONVILLE,40,2,7,8
2024 2,ODFL,REDLANDS,WOODLAND,10,1,3,38
2024 2,ODFL,ELWOOD,MADISON,10,2,5,58
2024 2,ODFL,ELWOOD,NORTH CANTON,7,1,3,58
2024 2,ODFL,ELWOOD,LAKELAND,9,3,6,34
2024 2,ODFL,REDLANDS,ALBANY,14,2,4,40
2024 2,ODFL,REDLANDS,SEARCY,4,3,5,50
2024 2,ODFL,SUMNER,MERIDIAN,6,1,4,67
2024 2,ODFL,ELWOOD,TYLER,2,2,5,100
2024 2,ODFL,ELWOOD,STUARTS DRAFT,10,2,3,60
2024 2,ODFL,RICHMOND,WEST JEFFERSON,2,2,2,100
2024 2,ODFL,ELWOOD,BROWNSTOWN,5,1,4,40
2024 3,ODFL,ELWOOD,NEW BRAUNFELS,22,2,5,10
2024 3,ODFL,ELWOOD,FT PIERCE,12,3,6,60
2024 3,ODFL,RICHMOND,BURLINGTON,17,1,8,18
2024 3,ODFL,ELWOOD,RAYMOND,14,2,5,29
2024 3,ODFL,ELWOOD,CHAMBERSBURG,10,2,6,80
2024 3,ODFL,ELWOOD,PALESTINE,30,2,4,67
2024 3,ODFL,RICHMOND,JUPITER,16,2,4,50
2024 3,ODFL,ELWOOD,LOVELAND,38,2,4,90
2024 3,ODFL,SUMNER,LOVELAND,8,2,3,50
2024 3,ODFL,REDLANDS,ALBANY,10,2,7,60
2024 3,ODFL,PHARR,LEVITTOWN,44,4,8,5
2024 3,ODFL,REDLANDS,MORENO VALLEY,18,1,6,28
2024 3,ODFL,ELWOOD,PHARR,6,3,6,50
2024 3,ODFL,ELWOOD,SANTA ROSA,6,5,10,100
2024 2,ODFL,REDLANDS,DAYTON,3,4,6,34
2024 2,ODFL,RICHMOND,TEWKSBURY,4,2,7,50
2024 2,ODFL,LANCASTER,BESSEMER,3,2,4,34
2024 2,RBTW,PHARR,RICHMOND,1,2,4,100
2024 4,ODFL,ELWOOD,MOUNT PLEASANT,18,1,4,8
2024 4,ODFL,ELWOOD,SHELBY,38,2,3,37
2024 4,ODFL,ELWOOD,SEALY,6,2,6,34
2024 3,ODFL,REDLANDS,INDIANAPOLIS,5,3,7,40
2024 3,ODFL,LANCASTER,SUFFOLK,2,2,3,100
2024 3,ODFL,LANCASTER,GRANTSVILLE,1,2,3,100
2024 2,RBTW,ELWOOD,ROMULUS,2,5,1,50
2024 2,ODFL,SUMNER,EUGENE,3,1,2,34
2024 2,ODFL,PHARR,CASTLETON,3,4,6,100
2024 3,ODFL,RICHMOND,BENTONVILLE,4,2,4,100
2024 3,ODFL,RICHMOND,NICHOLS,8,1,6,13
2024 3,ODFL,ELWOOD,HATTIESBURG,2,3,2,100
2024 3,ODFL,LANCASTER,CHARLOTTE,5,2,6,50
2024 3,ODFL,LANCASTER,BEAVER DAM,1,2,3,100
2024 3,ODFL,LANCASTER,LAKELAND,3,2,6,34
2024 3,ODFL,RICHMOND,POTTSVILLE,12,1,4,100
2024 4,ODFL,ELWOOD,READING,7,2,5,43
2024 3,ODFL,RICHMOND,FONTANA,6,4,7,67
2024 3,RBTW,PHARR,RICHMOND,3,2,4,67
2024 3,ODFL,RICHMOND,MADISON,9,2,6,67
2024 4,AEQC,RICHMOND,KERNERSVILLE,105,2,2,2
2024 4,ODFL,RICHMOND,BEAVER DAM,8,3,6,25
2024 4,ODFL,ELWOOD,LUGOFF,10,2,4,25
2024 2,ODFL,SUMNER,HERMISTON,2,1,3,50
2024 4,ODFL,RICHMOND,UXBRIDGE,30,2,6,20
2024 4,ODFL,ELWOOD,JUPITER,6,3,5,34
2024 4,AEQC,GRAND RAPIDS,RICHMOND,56,3,6,15
2024 4,ODFL,ELWOOD,BLUFFTON,24,1,8,84
2024 4,ODFL,RICHMOND,YORK,52,1,7,8
2024 3,ODFL,LANCASTER,NORTH CANTON,3,3,5,34
2024 3,RBTW,LANCASTER,WACO,6,2,3,25
2024 3,RBTW,RICHMOND,PATTERSON,2,3,3,50
2024 3,ODFL,LANCASTER,PENSACOLA,4,2,5,75
2024 4,ODFL,LANCASTER,LAKELAND,6,2,7,34
2024 4,ODFL,LANCASTER,PHOENIX,13,2,6,47
2024 4,ODFL,RICHMOND,OCONOMOWOC,6,3,5,100
2024 4,ODFL,LANCASTER,CHARMA,3,3,3,100
2024 4,ODFL,RICHMOND,COLDWATER,10,2,6,50
2024 4,ODFL,RICHMOND,BURLINGTON,26,1,7,8
2024 4,ODFL,ELWOOD,SANTA ROSA,9,5,10,34
2025 1,ODFL,RICHMOND,BURLINGTON,16,1,7,13
2024 3,ODFL,ELWOOD,TOPEKA,8,2,4,50
2025 1,ODFL,ELWOOD,MESQUITE,14,4,5,8
2025 1,ODFL,ELWOOD,OMAHA,27,1,4,8
2025 1,ODFL,RICHMOND,WILLIAMSTON,18,2,4,100
2024 4,ODFL,ELWOOD,CULLMAN,6,2,4,34
2024 4,ODFL,PHARR,STOCKTON,14,4,8,29
2024 4,ODFL,PHARR,FENTON,12,3,4,25
2024 4,ODFL,ELWOOD,MELROSE PARK,4,1,3,100
2024 4,ODFL,REDLANDS,RANCHO CUCAMONGA,21,1,14,5
2024 4,ODFL,RICHMOND,HATTIESBURG,16,3,6,50
2024 3,ODFL,SUMNER,GALESBURG,2,5,7,100
2024 3,ODFL,SUMNER,TOPEKA,2,4,6,100
2024 3,ODFL,SUMNER,TYLER,2,4,8,50
2024 3,ODFL,RICHMOND,WACO,4,3,6,50
2024 4,ODFL,ELWOOD,PLAINFIELD,8,1,3,60
2024 4,RBTW,RICHMOND,NEWPORT NEWS,6,4,2,67
2024 4,RBTW,LANCASTER,WACO,3,4,1,34
2024 4,ODFL,ELWOOD,SHAKOPEE,18,1,4,28
2024 4,ODFL,RICHMOND,ELLOREE,8,1,3,25
2024 4,ODFL,PHARR,WAUREGAN,9,4,10,34
2024 4,ODFL,RICHMOND,BLACK MOUNTAIN,8,1,2,25
2024 4,ODFL,LANCASTER,INDIANOLA,6,2,6,34
2024 4,ODFL,PHARR,COPPELL,27,1,6,21
2025 1,ODFL,REDLANDS,WOODLAND,16,2,3,100
2024 3,RBTW,ELWOOD,CLINTON,2,1,3,100
2024 3,ODFL,LANCASTER,JACKSON,2,2,3,100
2024 4,ODFL,LANCASTER,GALESBURG,12,3,5,40
2024 4,ODFL,REDLANDS,LOVELAND,4,2,5,50
2024 4,ODFL,ELWOOD,GROVE CITY,8,1,3,75
2025 1,ODFL,PHARR,IMPERIAL,14,3,6,8
2025 1,ODFL,RICHMOND,WARSAW,9,1,4,34
2025 1,ODFL,LANCASTER,LUGOFF,4,2,4,100
2025 1,ODFL,RICHMOND,BLACK MOUNTAIN,6,1,2,67
2024 4,ODFL,ELWOOD,RAYMOND,4,2,5,25
2025 1,RBTW,RICHMOND,NICHOLS,6,8,1,17
2025 1,ODFL,ELWOOD,MOUNT VERNON,21,2,3,24
2025 1,ODFL,ELWOOD,JOLIET,17,1,5,24
2025 1,ODFL,ELWOOD,SHELBY,34,2,2,69
2025 1,ODFL,PHARR,REDLANDS,19,3,5,16
2025 1,ODFL,ELWOOD,PALESTINE,6,2,5,67
2025 1,ODFL,ELWOOD,PLANO,28,2,2,36
2024 4,ODFL,LANCASTER,ST. JAMES,2,1,4,100
2025 1,ODFL,RICHMOND,TIFTON,3,2,5,100
2024 4,ODFL,PHARR,MILLSBORO,2,4,3,100
2025 1,ODFL,LANCASTER,MOUNT PLEASANT,2,3,4,50
2025 1,ODFL,LANCASTER,PORTLAND,2,2,2,100
2025 1,ODFL,ELWOOD,TOBYHANNA,8,2,4,100
2025 1,ODFL,LANCASTER,BROOKSVILLE,4,3,4,100
2025 1,ODFL,RICHMOND,HOPE MILLS,8,2,4,34
2025 1,ODFL,ELWOOD,URBANA,2,2,2,100
2025 1,ODFL,LANCASTER,PHOENIX,4,2,2,100
2025 1,ODFL,RICHMOND,SEYMOUR,4,2,5,100
2025 1,ODFL,RICHMOND,SEALY,4,2,5,100
2025 1,ODFL,REDLANDS,PORTERVILLE,4,1,2,100
2025 2,ODFL,ELWOOD,BRIDGETON,11,1,2,82
2025 2,ODFL,LANCASTER,WAXAHACHIE,22,1,2,37
2025 2,ODFL,REDLANDS,MOXEE,47,2,4,38
2025 2,FXFC,MILTON,WOODSTOCK,2,1,1,100
2025 2,ODFL,LANCASTER,APPLE VALLEY,4,2,5,50
2025 2,ODFL,ELWOOD,KENOSHA,3,1,2,100
2025 2,ODFL,LANCASTER,CULLMAN,68,2,2,100
2025 2,ODFL,LANCASTER,DFW AIRPORT,3,1,2,100
2025 2,ODFL,ELWOOD,BYRON CENTER,10,1,2,90
2025 2,ODFL,PHARR,FLOWER MOUND,35,1,1,100
2025 2,ODFL,PHARR,DENVER,23,2,2,92
2025 2,ODFL,REDLANDS,SMYRNA,56,4,1,65
2025 2,ODFL,RICHMOND,DUBLIN,5,2,4,60
2025 2,FXFC,MILTON,LONDON,16,1,4,17
2025 2,ODFL,REDLANDS,DINUBA,31,0,2,94
2025 2,ODFL,ELWOOD,TOPEKA,25,2,2,88
2025 2,ODFL,PHARR,MONTGOMERY,65,4,2,40
2025 2,RBTW,ELWOOD,GALESBURG,21,2,3,7
2025 2,ODFL,ELWOOD,SHAKOPEE,16,1,2,32
2025 2,ODFL,LANCASTER,NEW BRAUNFELS,15,1,2,67
2025 2,ODFL,REDLANDS,OPELOUSAS,80,3,1,95
2025 2,ODFL,REDLANDS,NEW BRAUNFELS,54,3,2,86
2025 2,ODFL,REDLANDS,HOPE MILLS,51,3,1,97
2025 2,ODFL,REDLANDS,GROVE CITY,37,2,1,100
2025 2,ODFL,RICHMOND,GANSEVOORT,14,2,6,40
2025 2,ODFL,RICHMOND,DISPUTANTA,12,1,2,67
2025 2,ODFL,RICHMOND,GREENVILLE,21,1,2,20
2025 2,ODFL,REDLANDS,CHEHALIS,43,2,3,68
2024 2,ODFL,LANCASTER,TYLER,2,1,1,100
2024 2,ODFL,ELWOOD,SUMMERVILLE,6,2,4,34
2024 2,ODFL,REDLANDS,RIALTO,11,1,3,12
2024 2,ODFL,REDLANDS,WEST JEFFERSON,8,3,6,34
2024 2,ODFL,ELWOOD,JOLIET,11,1,8,19
2024 2,ODFL,PHARR,EARTH CITY,6,3,3,34
2024 2,ODFL,ELWOOD,JEFFERSON,15,2,5,7
2024 2,ODFL,PHARR,ELWOOD,6,3,5,100
2024 2,ODFL,RICHMOND,HATTIESBURG,6,3,5,34
2024 3,ODFL,REDLANDS,HAMPTON,8,3,8,50
2024 2,ODFL,ELWOOD,MARCY,6,2,5,67
2024 2,ODFL,PHARR,GREENCASTLE,6,4,6,67
2024 2,ODFL,REDLANDS,TYLER,14,3,7,30
2024 3,RBTW,GRAND RAPIDS,FENTON,116,1,3,13
2024 2,ODFL,ELWOOD,MT. CRAWFORD,6,2,4,34
2024 2,ODFL,ELWOOD,PRINCETON,10,1,3,20
2024 2,RBTW,REDLANDS,REDLANDS,26,1,2,17
2024 2,ODFL,RICHMOND,MCLEANSVILLE,10,1,6,100
2024 2,ODFL,ELWOOD,WILTON,10,2,7,60
2024 2,ODFL,PHARR,ONTARIO,18,3,8,17
2024 2,ODFL,LANCASTER,STUARTS DRAFT,4,2,4,25
2024 3,ODFL,ELWOOD,DACULA,24,2,8,100
2024 3,ODFL,ELWOOD,MADISON,16,2,4,50
2024 2,ODFL,LANCASTER,SEARCY,5,1,3,60
2024 3,ODFL,SUMNER,CLACKAMAS,30,1,5,54
2024 3,ODFL,RICHMOND,LAKELAND,57,2,7,79
2024 2,ODFL,LANCASTER,ALBANY,1,4,5,100
2024 3,ODFL,ELWOOD,HOPE MILLS,14,2,4,50
2024 3,RBTW,REDLANDS,APPLE VALLEY,102,7,3,4
2024 3,ODFL,ELWOOD,WEST JEFFERSON,46,1,3,20
2024 3,ODFL,LANCASTER,OPELOUSAS,4,1,4,75
2024 3,ODFL,ELWOOD,SMYRNA,14,2,4,84
2024 3,ODFL,ELWOOD,SANGER,33,2,5,79
2024 3,ODFL,ELWOOD,BROOKSVILLE,10,3,5,100
2024 3,ODFL,ELWOOD,LAKELAND,7,3,6,29
2024 3,ODFL,REDLANDS,NEWTON,14,4,7,75
2024 3,ODFL,ELWOOD,MCLEANSVILLE,2,2,7,100
2024 3,ODFL,ELWOOD,BLUFFTON,26,1,7,77
2024 3,FXFE,PHARR,BURLINGTON,26,3,5,8
2024 3,ODFL,LANCASTER,SEARCY,12,1,6,25
2024 3,ODFL,LANCASTER,CHAMBERSBURG,5,3,6,60
2024 3,ODFL,PHARR,BRANDON,5,5,6,60
2024 3,ODFL,LANCASTER,WAXAHACHIE,15,1,3,47
2024 3,ODFL,RICHMOND,ABINGDON,10,1,3,40
2024 2,ABFS,LANCASTER,DALLAS,4,1,1,100
2024 3,ODFL,ELWOOD,PLANT CITY,8,3,5,25
2024 3,ODFL,ELWOOD,MEDINA,14,1,5,43
2024 2,ODFL,REDLANDS,NEW BRAUNFELS,2,3,4,100
2024 2,ODFL,SUMNER,RIALTO,4,2,3,50
2024 3,ODFL,REDLANDS,GALESBURG,10,4,7,60
2024 3,ODFL,LANCASTER,VILLA RICA,5,2,3,50
2024 4,RBTW,GRAND RAPIDS,RICHMOND,61,4,2,15
2024 3,ODFL,LANCASTER,OSWEGO,6,2,5,40
2024 4,ODFL,REDLANDS,MERIDIAN,10,2,5,60
2024 4,ODFL,LANCASTER,OCONOMOWOC,11,2,5,73
2024 3,ODFL,LANCASTER,BENTONVILLE,3,1,4,34
2024 3,ODFL,REDLANDS,PUYALLUP,20,2,10,45
2024 4,ODFL,ELWOOD,CHIPPEWA FALLS,42,1,4,28
2024 2,ODFL,LANCASTER,FONTANA,2,2,6,100
2024 3,ODFL,LANCASTER,HUTCHINSON,1,1,1,100
2024 3,ODFL,LANCASTER,FRIDLEY,6,2,10,17
2024 3,ODFL,LANCASTER,STUARTS DRAFT,3,2,4,100
2024 3,ODFL,ELWOOD,NEWTON,12,2,4,34
2024 2,ODFL,REDLANDS,FINDLAY,2,5,4,100
2024 2,ODFL,ELWOOD,KENOSHA,4,1,5,50
2024 3,ODFL,LANCASTER,PLAINVIEW,2,1,1,100
2024 3,ODFL,ELWOOD,NORFOLK,6,1,5,34
2024 2,ODFL,PHARR,RICHMOND,3,4,6,100
2024 2,ODFL,LANCASTER,LUFKIN,1,1,3,100
2024 3,ODFL,LANCASTER,SUTHERLAND,1,3,3,100
2024 4,ODFL,LANCASTER,LUGOFF,10,2,5,67
2024 4,ODFL,ELWOOD,GREENFIELD,20,1,4,25
2024 3,ABFS,RICHMOND,EDGEWOOD,7,2,5,58
2024 4,RBTW,RICHMOND,DUBLIN,8,1,2,13
2024 4,ODFL,RICHMOND,ST. JAMES,6,2,5,67
2024 4,ODFL,LANCASTER,SAN ANTONIO,54,1,3,26
2024 4,ODFL,REDLANDS,PHOENIX,64,1,5,65
2024 4,ODFL,RICHMOND,FINDLAY,6,2,5,67
2024 3,ODFL,RICHMOND,LENEXA,12,2,5,100
2024 4,ODFL,RICHMOND,BOYNTON BEACH,10,2,7,100
2024 4,ODFL,RICHMOND,POTTSVILLE,9,1,3,67
2024 4,ODFL,RICHMOND,SCHNECKSVILLE,1,1,4,100
2024 4,ODFL,ELWOOD,MOUNT VERNON,22,2,3,28
2025 1,ODFL,ELWOOD,BROWNSTOWN,22,2,3,25
2025 1,RBTW,GRAND RAPIDS,REDLANDS,28,6,5,8
2025 1,ODFL,ELWOOD,KILGORE,30,2,4,13
